tree_id,species,latitude,longitude
238531, Kwanzan Flowering Cherry,37.77233688,-122.4209008
18719, New Zealand Xmas Tree,37.76672106,-122.43728390000001
6085, Victorian Box,37.77992553,-122.4404095
229042, Brisbane Box,37.74327272,-122.4325953
140669, Blackwood Acacia,37.77443116,-122.454503
86403, Swamp Myrtle,37.75532907,-122.4841614
124488, Myoporum,37.77747273,-122.45556040000001
130683, Southern Magnolia,37.79216153,-122.4430756
235285, Victorian Box,37.75867831,-122.4404787
90182, Bronze Loquat,37.77673728,-122.4766866
133310, Sycamore: London Plane,37.79542181,-122.44160819999999
238033, Ornamental Cherry,37.75732464,-122.43475090000001
185048, Cherry,37.73606133,-122.4914674
200487, Brisbane Box,37.75513733,-122.3878246
237634, Cherry Plum,37.75886302,-122.4326884
128089, Indian Laurel Fig Tree 'Green Gem',37.80696394,-122.40993870000001
179016, Kwanzan Flowering Cherry,37.71368727,-122.43978419999999
229901, Southern Magnolia,37.74380593,-122.4356548
38826, Ornamental Pear,37.78789632,-122.4648636
10385, Brazilian Pepper,37.77042397,-122.44419209999998
5810, Lemon Bottlebrush,37.736943100000005,-122.3864696
213885, Ornamental Pear: Bradford,37.75665154,-122.4661007
238351, Kwanzan Flowering Cherry,37.75768146,-122.4302476
20675, Acacia Spp,37.75891826,-122.4955876
232598, New Zealand Xmas Tree,37.754397499999996,-122.43994679999999
229002, Brisbane Box,37.76002023,-122.421844
184160, Primrose Tree,37.75696922,-122.5010564
30985, Southern Magnolia,37.7940157,-122.42899809999999
115881, Australian Willow,37.73741063,-122.3904598
178854, Mariposa Plum,37.71381578,-122.41223240000001
51372, Mayten,37.77559066,-122.4768156
125011, Blackwood Acacia,37.80508862,-122.4470362
246216, Windmill Palm,37.76779973,-122.4438604
18512, Indian Laurel Fig Tree 'Green Gem',37.79058106,-122.408804
128788, Port Jackson Fig,37.79628784,-122.4425136
244519, Victorian Box,37.77308716,-122.42976029999998
179998, Swamp Myrtle,37.71121815,-122.41383119999999
62400, New Zealand Xmas Tree,37.80285682,-122.4208902
249664, Yoshino Cherry,37.79321476,-122.4465811
87408, Red Ironbark,37.79791069,-122.42385149999998
63523, Purple-leaf Acacia,37.75799017,-122.42104180000001
211747, Victorian Box,37.74210344,-122.4683732
244084, Karo Tree,37.77080856,-122.45208240000001
202761, Brisbane Box,37.77147152,-122.39386029999999
238937, Ornamental Pear,37.75448932,-122.4110771
238697, Sycamore: London Plane,37.73733920000001,-122.4215722
233707, Olive Tree,37.75976298,-122.43257990000001
96749, California Lilac 'Ray Hartman',37.75708828,-122.43020890000001
28305, Small-leaf Tristania 'Elegant',37.72869458,-122.4403899
33535, California Pepper,37.74083857,-122.41749270000001
208945, Blue Gum,37.73476376,-122.4681801
214167, California Pepper,37.75255618,-122.4656022
25569, Sycamore: London Plane,37.73993926,-122.4003467
130430, Champa,37.80121798,-122.4142007
21429, Canary Island Pine,37.73677403,-122.4942247
9879, Lemon Bottlebrush,37.78777419,-122.42527279999999
42729, Victorian Box,37.7287859,-122.39490190000001
232400, Myoporum,37.77149913,-122.43129850000001
133215, Victorian Box,37.79744995,-122.3985135
128816, Ash Spp,37.78176331,-122.4141168
13321, Chinese Elm,37.72149258,-122.4324059
193249, Southern Magnolia,37.78458869,-122.4045541
33778, Southern Magnolia,37.79150508,-122.396128
75651, Olive Tree,37.77677041,-122.4781325
228613, Brisbane Box,37.74493426,-122.4224628
9101, New Zealand Xmas Tree,37.7804141,-122.48071399999999
138816, Sycamore: London Plane,37.77707912,-122.4284862
232283, White Mulberry,37.749874,-122.43196599999999
227242, Glossy Privet,37.74656566,-122.4416374
230480, Southern Magnolia,37.75308806,-122.4101767
135145, Sycamore: London Plane,37.80851321,-122.41113899999999
197417, Purple Robe Locust,37.77370752,-122.3915814
116178, Victorian Box,37.78739461,-122.3986281
220490, Red Maple,37.75265016,-122.41267659999998
23724, Shamel Ash: Evergreen Ash,37.77794032,-122.42974709999999
226509, Indian Laurel Fig Tree 'Green Gem',37.75652431,-122.41330459999999
133393, Sycamore: London Plane,37.78905835,-122.454828
181989, Mexican Fan Palm,37.74075538,-122.48717179999998
224223, Blue Gum,37.73746439,-122.42570259999998
213143, New Zealand Xmas Tree,37.72264483,-122.45724399999999
221918, Peppermint Willow,37.75366152,-122.4288048
139311, Sycamore: London Plane,37.78585111,-122.42487450000002
240004, Ornamental Pear,37.75488226,-122.42904879999999
121650, Hybrid Strawberry Tree,37.73291821,-122.460606
13418, Sycamore: London Plane,37.7939088,-122.3953659
236163, Victorian Box,37.73911068,-122.4276084
134817, Sycamore: London Plane,37.80288284,-122.4195871
30064, Monterey Pine,37.71247053,-122.46742959999999
234810, Sycamore: London Plane,37.77409175,-122.42034699999999
240282, Coast Live Oak,37.7431073,-122.4352889
14924, Carob,37.74269712,-122.38569
160336, Fern Pine,37.71814853,-122.4389831
5379, Southern Magnolia,37.76491628,-122.42626010000001
125408, Red Maple,37.78285833,-122.4216659
231181, Santa Cruz Ironwood,37.74939227,-122.40880359999998
3446, Lemon Bottlebrush,37.7453499,-122.44441850000001
6084, Victorian Box,37.78033346,-122.440353
197440, Purple Robe Locust,37.77127511,-122.39134409999998
41171, Olive Tree,37.80053798,-122.44030479999999
141621, Southern Magnolia,37.77466979,-122.44739340000001
16686, Queen Palm,37.76508484,-122.4331811
221649, Trident Maple,37.76616695,-122.4292118
